address,city,state,zipcode,Jan 2010,Feb 2010,Mar 2010,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Today,Jul 2008,Sep 2008,Oct 2008,Nov 2008,Dec 2008,Jan 2009,Feb 2009,Mar 2009,Apr 2009,Jun 2009,Jul 2009,Aug 2009,Sep 2009,Oct 2009,Nov 2009,Dec 2009
"411 Fiji Cir,",Union City,CA,94587,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
"3306 San Carlos Way,",Union City,CA,94587,None,None,None,None,None,$403.9K,$403.9K,$390.7K,$381.4K,$381.8K,$367.7K,$380.9K,$358.3K,None,$346.4K,$343.4K,$354.6K,$349.2K,$349.3K,$349.4K,$346.7K,$345.7K,$348.5K,$348.5K,$339.7K,$326.5K,$320.3K,$344K,$353K,$367.4K,$363.1K,$348.2K,$352.5K,$379.8K,$407.4K,$428.4K,$381.9K,$398.9K,$408.1K,$428.6K,$428.6K,$443.6K,$461.1K,$422.1K,$440.7K,$449.1K,$456.9K,$467K,$508.8K,$518.9K,$512.9K,$509.8K,$510.7K,$499.7K,$533.5K,$552.5K,$555.2K,$555.2K,$552.5K,$563.2K,$559.6K,$522.9K,$547.5K,$572.3K,$585.4K,$591.1K,$625K,$620.6K,$633.6K,$644.5K,$571K,$568.8K,$580.7K,$609.2K,$609.2K,$629.6K,$650.1K,$665.7K,$662.4K,$660.7K,$669.2K,$663.2K,$700.5K,$709.7K,$707.5K,$708.7K,$731.3K,$723.4K,$720.5K,$746.7K,$777.2K,$777.2K,$761.8K,$772.6K,$782.1K,$775.9K,$800.9K,$799K,$800.8K,$822.9K,$849.3K,$902.2K,$755.7K,$739.2K,$739.2K,$711.4K,$700K,$700K,$700K,$699.9K,$700K,$688.2K,$689.6K,$689.6K,$824.5K,$797.3K,$801.5K,$856.9K,$850.1K,$935K,None,$928.4K,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
"32459 Joyce Way,",Union City,CA,94587,None,None,None,None,None,$458.1K,$458.1K,$451.8K,$465.6K,$447.7K,$441.8K,$427.6K,$425.6K,$425.9K,$425.9K,$412.3K,$401.1K,$401.1K,$396.9K,$395K,$388.4K,$389.8K,$388K,$366.3K,$383.5K,$385K,$385K,$390.4K,$409.8K,$413.3K,$433.4K,$420.8K,$416.1K,$418.8K,$423.4K,$463.2K,$492.7K,$502.2K,$522.1K,$541.8K,$554K,$569.7K,$548.4K,$551.9K,$561.8K,$561.8K,$575.6K,$573.9K,$588.7K,$589.8K,$585.5K,$589.6K,$579.8K,$582.3K,$570K,$593K,$601.1K,$597.5K,$616.9K,$627.1K,$644.4K,$647.3K,$658.2K,$675.1K,$686K,$696.1K,$696.1K,$691.6K,$696.7K,$722.5K,$705.6K,$707.9K,$707K,$703.1K,$709.7K,$721.4K,$727.5K,$711.9K,$705K,$719.6K,$707.9K,$721.6K,$727.1K,$729.6K,$729.6K,$732.2K,$746.3K,$754.3K,$752.6K,$763.2K,$779.9K,$824.6K,$826.9K,$812.6K,$807.3K,$859.9K,$890.7K,$891.5K,$906K,$923.7K,$934.9K,$967.5K,$1M,$1M,$1M,$1M,$1M,$1M,$978.9K,$978K,$972.3K,$963.6K,$962.5K,$948.2K,$931K,$882.1K,$868.4K,$866.9K,$877.3K,$888.7K,None,$914.9K,None,$920K,$920K,$920K,$920.3K,$921.1K,$922K,$923.1K,$924.6K,$926.4K,$928.7K,None,$935.3K,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
"30761 Oxford Way,",Union City,CA,94587,None,None,None,None,None,$625.8K,$625.8K,$610.1K,$616.3K,$611.7K,$600.9K,$599.2K,$579.8K,$583.3K,$577.6K,$580.9K,$554.8K,$547K,$571.7K,$558.5K,$559K,$548.2K,$538.1K,$538.1K,$536.4K,$525.7K,$525.7K,$530.7K,$545.4K,$553.7K,$569.8K,$561.6K,$571.1K,$574.4K,$589.7K,$634.7K,$653.2K,$662.5K,$707.1K,$746.7K,$766.1K,$770K,$769.7K,$756.1K,$751.8K,$751.8K,$755.5K,$778.2K,$795.9K,$793.2K,$800.3K,$790.3K,$786K,$770.9K,$783.5K,$760.1K,$755.3K,$759.5K,$769.8K,$798.6K,$783.6K,$804.4K,$812.3K,$844.8K,$850.3K,$861.8K,$861.8K,$851.2K,$851.7K,$843.2K,$833.2K,$840.7K,$879.6K,$892.5K,$887K,$877.4K,$887.3K,$891.4K,$881.8K,$878.5K,$866.8K,$891.7K,$887.2K,$893.5K,$893.5K,$911.1K,$929.3K,$938.5K,$950.7K,$966.8K,$975.6K,$1M,$1M,$1M,$1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,None,None,$1.1M,None,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,None,$1.2M,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
"2607 Royal Ann Dr,",Union City,CA,94587,None,None,None,None,None,$471.2K,$471.2K,$458.1K,$462.5K,$457.7K,$450.1K,$449.2K,$437K,$440.8K,$435.6K,$438.1K,$437.4K,$438.4K,$458.1K,$445.2K,$454.7K,$454.3K,$445K,$447.9K,$436.4K,$437.5K,$437.5K,$432.3K,$443.9K,$440.8K,$449.6K,$417.3K,$421.8K,$430.9K,$437.2K,$477.6K,$487.9K,$496.3K,$524.2K,$538.4K,$567.1K,$578K,$586.7K,$585.5K,$589.6K,$589.6K,$603.4K,$618.5K,$684.3K,$684.1K,$699.3K,$703.5K,$696.8K,$699.7K,$691.8K,$695.5K,$703.2K,$698.5K,$710.5K,$713.6K,$710.4K,$719.2K,$744.4K,$761.9K,$762.9K,$794.3K,$794.3K,$787.5K,$826.4K,$845.5K,$854.7K,$869.8K,$877.6K,$898.8K,$903.2K,$899.4K,$905.7K,$908K,$809.3K,$812K,$793.2K,$798.5K,$811.6K,$816.6K,$816.6K,$823K,$840.3K,$844.2K,$836.1K,$853.5K,$847.7K,$851.5K,$870.5K,$910.3K,$959K,$958.1K,$950.8K,$973K,$1M,$1M,$1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.2M,$1.1M,$1.1M,$1.1M,$1.1M,$1.2M,$1.1M,$1.1M,$1.1M,$1.1M,$981K,$986.5K,$976.2K,$949.2K,None,None,$962.3K,None,$936.6K,$935.4K,$934.5K,$934.2K,$934.4K,$935.1K,$936.2K,$937.9K,$940.2K,None,$945.7K,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
"32230 Coronation Dr,",Union City,CA,94587,None,None,None,None,None,$419.6K,$419.6K,$423.6K,$420K,$427.6K,$434.4K,$432K,$421.8K,$409.2K,$411.1K,$405.2K,$400K,$389.8K,$399.7K,$386.9K,$386.6K,$385.6K,$376.3K,$371.1K,$363.9K,$363K,$363K,$374.7K,$387.7K,$378.9K,$406K,$416.7K,$407K,$416.7K,$432.3K,$443.7K,$465.1K,$470.7K,$483.6K,$516.9K,$530K,$537.1K,$553.6K,$548.3K,$550.3K,$550.3K,$565.7K,$576.5K,$587.5K,$592.1K,$618.8K,$602.1K,$606.8K,$602.9K,$587.3K,$592.1K,$597.5K,$591.9K,$581.1K,$580.7K,$576.3K,$587.5K,$625K,$631.7K,$642.2K,$645K,$645K,$659.8K,$665.7K,$669.3K,$672K,$668.4K,$688.3K,$695.4K,$726.5K,$705.1K,$704.7K,$701.5K,$755.4K,$736.2K,$727.6K,$738.5K,$742.4K,$740.2K,$740.2K,$727.7K,$751.3K,$757K,$767.1K,$764.1K,$780.7K,$785.1K,$780.7K,$799K,$817K,$846.1K,$861.5K,$858.9K,$875K,$896K,$903.8K,$914.4K,$958.5K,$945.7K,$943.2K,$943.2K,$910.7K,$893.7K,$840.3K,$827K,$831.1K,$850.1K,$835.4K,$829K,$833.6K,$817K,$819.6K,$817.9K,$821.4K,$839.7K,None,None,$855.9K,None,$894.8K,$894K,$893.4K,$893K,$892.7K,$892.5K,$892.5K,$892.8K,$893.5K,None,$896.7K,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
"34495 Jasmine Ct,",Union City,CA,94587,None,None,None,None,None,$600.6K,$600.6K,$594K,$651.5K,$643.8K,$636.6K,$630.7K,$614.4K,$610.1K,$611.8K,$605.2K,$579K,$575.4K,$585.3K,$585.1K,$585.9K,$581.5K,$581.3K,$584.1K,$579K,$572.1K,$572.1K,$573.6K,$576K,$588.4K,$613K,$600.9K,$607K,$609.4K,$622.4K,$652.2K,$670K,$680.4K,$702.5K,$723.7K,$752.5K,$772.3K,$775K,$778.8K,$777.1K,$777.1K,$789.9K,$803.7K,$814.3K,$808.5K,$824.6K,$825.2K,$813.5K,$805.9K,$809.2K,$800.9K,$794.3K,$794.9K,$805K,$816.1K,$831.1K,$844K,$853.3K,$862.3K,$861.1K,$853.6K,$853.6K,$862.4K,$880K,$898.4K,$886.2K,$889.3K,$914.3K,$933.2K,$952.7K,$969.6K,$959.6K,$967.4K,$905.3K,$918.3K,$929K,$965.8K,$971.7K,$986.7K,$986.7K,$985.7K,$1M,$1M,$994.6K,$1M,$1M,$980K,$971.5K,$996.2K,$991K,$1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,None,None,$1.1M,None,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,None,$1.1M,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
"2553 Mifflin Ave,",Union City,CA,94587,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
"2837 Montair Way,",Union City,CA,94587,None,None,None,None,None,$598K,$598K,$594K,$553.1K,$579.1K,$597.5K,$596.8K,$594K,$592.1K,$581.8K,$588K,$558.1K,$556.4K,$583.5K,$595K,$599.3K,$594.6K,$580.8K,$578.7K,$572.4K,$561.3K,$561.3K,$573.2K,$583.4K,$594.5K,$587.4K,$578.1K,$580.7K,$566.7K,$595.2K,$624.7K,$636.8K,$627.8K,$657.7K,$653.1K,$667.2K,$681.5K,$670.2K,$679.6K,$677.7K,$677.7K,$695.7K,$708.6K,$707.2K,$701.3K,$730.1K,$750.3K,$746.4K,$732.7K,$729.8K,$739.3K,$745.3K,$742.6K,$760.5K,$790.3K,$803.5K,$808.1K,$832.8K,$839.4K,$827.5K,$830.8K,$830.8K,$851.2K,$864.6K,$876.7K,$863.4K,$849.5K,$881.9K,$898.5K,$912.1K,$905.2K,$907.5K,$903.5K,$902K,$890.3K,$897.4K,$905.9K,$908.3K,$900.2K,$900.2K,$908.7K,$923K,$943.2K,$945.4K,$952.5K,$953.6K,$969K,$958.7K,$947.8K,$989.3K,$969.1K,$986.9K,$989.2K,$1M,$1M,$1M,$1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.2M,$1.2M,$1.1M,None,None,$1.1M,None,None,$1.1M,$1.1M,None,$1.1M,None,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.3M,$1.2M,$1.2M,$1.2M,$1.2M,None,$1.2M,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
"105 Cascades Cir,",Union City,CA,94587,None,None,None,None,None,$602.8K,$602.8K,$583K,$592.7K,$589.7K,$587.1K,$580K,$566.6K,$570.9K,$560.1K,$563K,$535.4K,$526.3K,$551.2K,$538.6K,$539K,$553K,$578.6K,$605.9K,$606.6K,$585.7K,$585.7K,$588.1K,$586.6K,$622.7K,$643.2K,$618.7K,$615.6K,$614.7K,$627.3K,$657.5K,$679.1K,$682.9K,$709.3K,$740.3K,$764.8K,$780.4K,$806.5K,$800.7K,$795.9K,$795.9K,$796.2K,$800.7K,$792.4K,$795.1K,$812.5K,$816.6K,$798.8K,$789.9K,$792.3K,$798.3K,$793.8K,$790.8K,$797.4K,$813K,$825.7K,$839.6K,$848.1K,$844.3K,$850.4K,$839.8K,$839.8K,$837.4K,$850.8K,$866.5K,$860.5K,$872.1K,$917.2K,$950.5K,$951K,$967.3K,$979.1K,$977.5K,$982.3K,$981.8K,$982.7K,$983.8K,$992.4K,$995.1K,$995.1K,$985.7K,$1M,$1M,$1M,$1M,$1M,$996K,$988.1K,$1M,$1M,$1M,$1.1M,$1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.2M,$1.3M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.2M,$1.3M,$1.2M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,None,None,$1.1M,None,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,$1.1M,None,$1.1M,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,
