price,address,city,state,zipcode,beds,baths,floor_size,year_built,Property_Type,HOA,Lot,PricePerSqFt,Description,remodel_year,Schools,No. of Nearby Schools
1011952,"3455 Laguna Creek Trl,", Vacaville,CA,95688,4.0,3,"3,256",1991,Single Family,None,18.38 acres,None,"AUCTION LISTING - WOW - Privacy to the max with a truly spectacular yard and home. The yard consist of many succulents and colors and has many great outdoor spaces to enjoy the surroundings. The land has some flat pastures and high hills which make it such a peaceful and serene place to enjoy. The interior is 100% custom southwestern and is beautiful. Attention to detail in every aspect when the interior and exterior was created. The property sits back a long driveway yet only minutes to I-80. Perfectly situated between Fairfield and Vacaville so very close proximity to the Bay Area. If you are looking for a one of a kind property, you just found it. Don't miss this great opportunity to make it your home or retreat. The pictures of the yard and pool are from a year ago and has since over grown and somewhat neglected but could easily get back to the grandeur as you see in the photos. Zoning allows for a second home too. Absolute auction subject to the auction rules.Read more",None,"'Orchard Elementary School', 'Willis Jepson Middle School', 'Vacaville High School'",3
530000,"712 Corte Crestview Ct,", Vacaville,CA,95688,4.0,2,"1,851",1973,Single Family,None,"8,276 sqft",$286,"This 1851 square foot single family home has 4 bedrooms and 2.0 bathrooms. It is located at 712 Corte Crestview Ct Vacaville, California.Read more",None,"'Orchard Elementary School', 'Willis Jepson Middle School', 'Vacaville High School'",3
658000,"3653 Oak Canyon Ln,", Vacaville,CA,95688,3.0,1,"1,384",1941,Single Family,None,1.3 acres,$475,None,None,"'Orchard Elementary School', 'Willis Jepson Middle School', 'Vacaville High School'",3
749000,"7482 Elizabeth Rd,", Vacaville,CA,95688,4.0,3,"1,783",2013,Single Family,None,1 acre,$420,"Own a slice of heaven in the country while being so close to the city. 4 bedroom, 3 full bath home has attention to detail with many custom finishes, built in hutch with bench seat, spacious island in the kitchen promoting the open concept. Newer interior paint, laminate flooring, new carpet in the bedrooms, indoor laundry. This fully fenced home features a electric gate, newly paved driveway,Covered RV/Boat storage, Sunscreens on all windows, security screen on the slider and front door,landscaped front yard, cover fenced in chicken coop. All this on 1 full acre of flat usable land the possibilities are endless.Read more",None,"'Anderson (Linford L.) Elementary School', 'C. A. Jacobs Intermediate School', 'Dixon High School'",3
489950,"676 Cordelia Cir,", Vacaville,CA,95687,4.0,2,"1,640",1986,Single Family,None,"8,611 sqft",$299,"Beautifully updated and meticulously maintained 4 bedroom, 2 bathroom home. Gorgeous kitchen with new stainless steel appliances and granite countertops. Master and guest bathrooms tastefully remodeled. New high-quality carpet throughout. Hardwood flooring lines the hallway and one of the bedrooms. This home was the model home, and the garage has been finished as livable space (630 sq ft) - currently used as a garage with a shop area. A very nice storage shed is conveniently located outside in the backyard. The landscaping is relatively low-maintenance, yet tranquil, with an orange and a cherry tree. There is a secure area for rv/boat storage. A Home Warranty is included, along with an existing Roof Warranty. The best feature of this home has to be the remarkably low PG&E bill, without solar!Read more",None,"'Eugene Padan Elementary School', 'Vaca Pena Middle School', 'Will C. Wood High School'",3
405000,"167 Lomita Ave,", Vacaville,CA,95688,3.0,2,"1,120",1962,Single Family,None,"6,534 sqft",$362,"Lovingly maintained home one of Vacaville's most convenient locations close to parks, schools and freeway access. The floor plan flows seamlessly. The spacious family room with light laminate flooring, opens to the spacious kitchen with eat in dining area and tile flooring throughout. The kitchen features light wood cabinets, solid surface counter tops and stainless steel appliances. Three bedrooms tucked away on the backside of the home and one featuring a slider that opens up into the yard with tons of potential. Covered patio, detached shed and greenery for gardening finishes off this private yard space and owned solar makes this property your perfect next home! Don't miss it!Read more",None,"'Edwin Markham Elementary School', 'Willis Jepson Middle School', 'Vacaville High School'",3
600000,"397 Sussex Cir,", Vacaville,CA,95687,4.0,None,"2,325",1990,Single Family,None,"6,534 sqft",$258,What I love about this homeNo rear neighbors. Backs up to canal. Quiet street. Remodeled kitchen. Remodeled master bathroom. New carpet upstairs. Hardwood installed throughout downstairs. Fireplace. Backyard for entertaining with pool.Read more,None,"'Eugene Padan Elementary School', 'Vaca Pena Middle School', 'Will C. Wood High School'",3
419900,"531 Eldridge Ave,", Vacaville,CA,95688,2.0,2,"1,216",1988,Single Family,None,"4,356 sqft",$345,"Cute as a button Burton Ranch single story! A perfect starter home or investment property. It's been nicely updated with new carpet and flooring throughout. The kitchen has concrete countertops, a new island and painted cabinets with new hardware. Both bathrooms have been freshened up with paint and new flooring also. Outside you can enjoy two patios -- one on the side of the house accessed from the main slider and another larger one in the back off the master bedroom slider. The backyard is beautifully landscaped and set up for outdoor fun. And you're conveniently located close to downtown. So you can enjoy a leisurely stroll to shops, restaurants, concerts and more. This home has been well maintained and move-in ready. Don't miss out!Read more",None,"'Hemlock Elementary School', 'Willis Jepson Middle School', 'Vacaville High School'",3
425000,"349 Keith Way,", Vacaville,CA,95687,3.0,2,"1,324",1986,Single Family,None,"6,560 sqft",$321,"Located in a quiet neighborhood, close to schools, parks and shopping, this charming cottage style single story will impress even the most discerning buyer. The curb appeal begs you to come inside and experience all the charm this home has to offer. Gleaming wood flooring and fresh interior paint greets you when step inside. The updated kitchen is light and bright with new appliances and solid surface counter tops. The spacious floor plan offers separate living and family rooms, 3 bedrooms and 2 baths.Read more",None,"'Jean Callison Elementary School', 'Vaca Pena Middle School', 'Will C. Wood High School'",3
369999,"402 Nut Tree Rd,", Vacaville,CA,95687,3.0,2,"1,270",1975,Single Family,$65/month,"6,098 sqft",$291,"Beautiful 3 bedroom 2 full baths single story home with 2 car garage. Right next to the Vacaville outlets, and grocery store. (walking distance) 55 and older community. Bathrooms and kitchen updated along with recessed lighting throughout the house and in bedrooms as well. Brand new dual pane tempered windows and sliding doors. Move in ready For sale by owner will give 2.5% commission to realtor who brings a buyer. Home is occupied please do not disturb call or email to set up and appointment.Read more",1975,"'Cooper Elementary School', 'Vaca Pena Middle School', 'Will C. Wood High School'",3
420000,"276 Weatherly Way,", Vacaville,CA,95687,4.0,2,"1,602",1974,Single Family,None,"5,227 sqft",$262,"Wonderful New Fairmont home with brand new composition roof just installed! Awesome floor plan with 1600sf PLUS a 325sf sunroom addition too! Home features oversized kitchen, central vacuum system, dual pane windows, extra large upstairs bedrooms and bedroom and full bath downstairs, new baseboards, recessed lighting, newer gas stove and microwave, awesome pellet stove in family room for those cold days and there are 2 RV parking areas as well! The 39ft front yard RV Parking area has full hookups and clean out. Finished garage is a bonus too! Hurry! Won't last long!Read more",None,"'Eugene Padan Elementary School', 'Vaca Pena Middle School', 'Will C. Wood High School'",3
347000,"154 Mckinley Cir,", Vacaville,CA,95687,2.0,3,"1,152",1963,Single Family,$65/month,"5,662 sqft",$301,None,None,"'Cooper Elementary School', 'Vaca Pena Middle School', 'Will C. Wood High School'",3
484888,"224 Loch Lomond Dr,", Vacaville,CA,95687,4.0,2,"1,807",1988,Single Family,None,"7,461 sqft",$268,None,None,"'Jean Callison Elementary School', 'Vaca Pena Middle School', 'Will C. Wood High School'",3
365000,"384 Weatherly Way,", Vacaville,CA,95687,3.0,1,960,1973,Single Family,None,"5,662 sqft",$380,None,None,"'Eugene Padan Elementary School', 'Vaca Pena Middle School', 'Will C. Wood High School'",3
650000,"1001 Canterbury Ct,", Vacaville,CA,95687,4.0,3,"2,726",2009,Single Family,None,0.33 acres,$238,"A magnificent single story in Southtown with thousands of dollars of upgrades. Nearly a third of an acre corner with RV & boat access gates on both sides, 3 car tandem garage, with a tastefully landscaped yard with huge shed on concrete. Floors include tile, hardwood & laminate throughout. The large backyard features a covered patio & stamped concrete for summertime entertaining. The kitchen boasts beautiful granite countertops with backsplash, island, stainless appliances, tons of cabinets, huge pantry, tile floors, room for eat-in kitchen table. Kitchen is open to the family room featuring a gas log fireplace. The courtyard entry takes you into 4 bdrms and 2.5 bths. The living room, family room & formal dining room have hardwood floors. The m/bathroom features double sinks & vanity counter, granite counter tops, tile shower, soaking tub, tile floor & large walk in closet. 3 bedrooms share a hall bath w/double sinks & separate wet area. Laundry room w/cabinets. No HOA.Read more",None,"'Cambridge Elementary School', 'Golden West Middle School', 'Vanden High School'",3
529900,"655 Corte Castro Ct,", Vacaville,CA,95688,3.0,2,"1,896",1974,Single Family,None,"7,840 sqft",$279,"This is truly a rare find in the North Orchard area! The kitchen has been beautifully remodeled with custom cabinets, granite countertops, stainless appliances & walk in pantry! The floorplan was previously enlarged making a huge dinning & living room with unique cabinets & lots of storage! Some of the other features include beautiful wood flooring, updated windows with plantation shutters & a large master bedroom (floorplan was previously 4 bedroom but past owner enlarged this room, could potentially be converted back). Both yards are extremely well maintained. Front yard might accommodate trailer/Boat parking. The backyard has raised planter beds with plenty of room for entertaining!Read more",None,"'Orchard Elementary School', 'Willis Jepson Middle School', 'Vacaville High School'",3
595000,"367 Sussex Cir,", Vacaville,CA,95687,4.0,3,"2,431",1991,Single Family,None,"6,969 sqft",$245,"Casual elegance and delightfully charming! Seldom do you see a home so well taken care of! This spacious home has it all! Beautiful hickory flooring, remodeled quartz kitchen w/ quaint breakfast nook overlooking a fantastic backyard with stamped patio, gazebo, covered BBQ area and colorful plantings with a variety of citrus. Vaulted ceilings and natural light warm the living room and dining room area. One bedroom & bathroom downstairs; 2 bedrooms with Jack and Jill bathroom upstairs. Spacious Master suite with beautiful upgraded master bath. Raised bed gardening. 3 car garage Nothing to do here but move in and pop a bottle of champagne!Read more",None,"'Eugene Padan Elementary School', 'Vaca Pena Middle School', 'Will C. Wood High School'",3
410000,"456 Zachary Dr,", Vacaville,CA,95687,3.0,2,"1,110",1997,Single Family,None,"4,791 sqft",$369,"Move In Ready Single Story Travis School District Beauty! Brand new carpet and pad, fresh paint, new bath faucets, new microwave, insulated garage door, vaulted ceilings in the family room and master bedroom and extra deep kitchen are just a few of the many wonderful things you will find here! Great backyard patio area is ideal for BBQing and entertaining too! Great location! Home has been professionally cleaned as well! Hurry! This one won't last long!Read more",None,"'Cambridge Elementary School', 'Golden West Middle School', 'Vanden High School'",3
529900,"813 Raven Dr,", Vacaville,CA,95687,4.0,None,"1,860",1990,Single Family,None,"5,662 sqft",$285,TURN KEY CONDITION! Downstairs bedroom and full bath* New interior paint* New carpet* Gorgeous upgraded master bath* Cherry cabinets in kitchen* Granite counters* Tile and laminate flooring* Some new light fixtures* New hardware throughout* New front door with digital lock* Upgraded downstairs bath* Dual zoned heat & air* New front landscaping* Back has numerous fruit trees*Extended driveway* Close to school and shopping* See to believe!***Read more,None,"'Jean Callison Elementary School', 'Vaca Pena Middle School', 'Will C. Wood High School'",3
875000,"7904 Heather Ln,", Vacaville,CA,95688,3.0,2,"1,898",1979,Single Family,None,5.54 acres,$461,"Imagine your dream home nestled on over 5 acres of usable land with lots of open space to host big family gatherings, raise animals, grow sustainable food with your own private well and enjoy the country living you'vealways dreamed of. Look no further welcome to this amazing home with endless possibilities.Read more",None,"'Browns Valley Elementary School', 'Willis Jepson Middle School', 'Vacaville High School'",3
410000,"856 Sage Dr,", Vacaville,CA,95687,2.0,2,"1,048",1990,Single Family,None,"5,662 sqft",$391,None,None,"'Foxboro Elementary School', 'Golden West Middle School', 'Vanden High School'",3
799000,"418 Three Rivers Ct,", Vacaville,CA,95688,5.0,3,"3,119",2003,Single Family,None,0.33 acres,$256,None,None,"'Browns Valley Elementary School', 'Willis Jepson Middle School', 'Vacaville High School'",3
650000,"343 Snow Egret Dr,", Vacaville,CA,95687,5.0,4,"3,623",2005,Single Family,None,"7,405 sqft",$179,None,None,"'Cambridge Elementary School', 'Golden West Middle School', 'Vanden High School'",3
499900,"125 Live Oak Ct,", Vacaville,CA,95687,4.0,2,"1,807",1988,Single Family,None,"9,147 sqft",$277,"What I love about this homeFor more information and details about this fabulous upcoming listing, call the Tom Rapisarda Team today at (707) 718-0947Read more",None,"'Jean Callison Elementary School', 'Vaca Pena Middle School', 'Will C. Wood High School'",3
300000,"678 Yellowstone Dr,", Vacaville,CA,95687,2.0,2,"1,152",1973,Single Family,$172/month,"3,484 sqft",$260,"Open HouseSun, Mar 812:00 PM - 3:00 PM{""@type"":""Event"",""@context"":""http://schema.org"",""startDate"":""2020-03-08T12:00:00"",""endDate"":""2020-03-08T15:00:00"",""name"":""Open House - 12:00 PM - 3:00 PM"",""description"":""Open House"",""url"":""https://www.zillow.com/homedetails/678-Yellowstone-Dr-Vacaville-CA-95687/247629649_zpid/"",""location"":{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""678 Yellowstone Dr"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""678 Yellowstone Dr"",""postalCode"":""95687"",""addressLocality"":""Vacaville"",""addressRegion"":""CA""}},""image"":""https://photos.zillowstatic.com/p_h/ISf8biw9x0ajg71000000000.jpg"",""offers"":{""@type"":""Offer"",""price"":300000,""priceCurrency"":""USD"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/678-Yellowstone-Dr-Vacaville-CA-95687/247629649_zpid/""},""performer"":""A New Way Real Estate""}",None,"'Cooper Elementary School', 'Vaca Pena Middle School', 'Will C. Wood High School'",3
